Match_ID,Date,Year,Format,Opponent,Venue,City,Innings,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Dismissal,Not_Out,Hundred,Fifty,Result,Player_of_Match,Captaincy,Captaincy_Basis,City_Source
343732,18-08-2008,2008,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,1,2,12,22,1,0,54.55,lbw,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Manually Verified
343733,20-08-2008,2008,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,2,2,37,67,6,0,55.22,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
343734,24-08-2008,2008,ODI,Sri Lanka,R Premadasa Stadium,Colombo,1,1,25,38,4,0,65.79,run out,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
366341,27-08-2008,2008,ODI,Sri Lanka,R Premadasa Stadium,Colombo,1,1,54,66,7,0,81.82,bowled,No,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
343736,29-08-2008,2008,ODI,Sri Lanka,R Premadasa Stadium,Colombo,2,1,31,46,3,1,67.39,lbw,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
403383,14-09-2009,2009,ODI,Sri Lanka,R Premadasa Stadium,Colombo,1,7,2,2,0,0,100,Not Out,Yes,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
415278,26-09-2009,2009,ODI,Pakistan,SuperSport Park,Centurion,2,4,16,24,1,0,66.67,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
415284,30-09-2009,2009,ODI,West Indies,New Wanderers Stadium,Johannesburg,2,4,79,104,9,2,75.96,Not Out,Yes,No,Yes,Win,Yes,Non-Captain,International captaincy tenure by format,Cricsheet
416236,25-10-2009,2009,ODI,Australia,Reliance Stadium,Vadodara,2,4,30,41,3,0,73.17,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
416239,02-11-2009,2009,ODI,Australia,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,3,10,16,1,0,62.5,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
430886,15-12-2009,2009,ODI,Sri Lanka,Madhavrao Scindia Cricket Ground,Rajkot,1,7,27,19,4,0,142.11,bowled,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
430887,18-12-2009,2009,ODI,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,4,54,65,7,0,83.08,lbw,No,No,Yes,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
430889,24-12-2009,2009,ODI,Sri Lanka,Eden Gardens,Kolkata,2,4,107,114,11,1,93.86,caught,No,Yes,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
434259,05-01-2010,2010,ODI,Sri Lanka,Shere Bangla National Stadium,Mirpur,1,3,9,12,1,0,75,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
434260,07-01-2010,2010,ODI,Bangladesh,Shere Bangla National Stadium,Mirpur,2,3,91,102,7,0,89.22,caught and bowled,No,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
434262,10-01-2010,2010,ODI,Sri Lanka,Shere Bangla National Stadium,Mirpur,2,3,71,68,9,0,104.41,Not Out,Yes,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
434263,11-01-2010,2010,ODI,Bangladesh,Shere Bangla National Stadium,Mirpur,2,3,102,95,11,0,107.37,Not Out,Yes,Yes,No,Win,Yes,Non-Captain,International captaincy tenure by format,Cricsheet
434264,13-01-2010,2010,ODI,Sri Lanka,Shere Bangla National Stadium,Mirpur,1,3,2,8,0,0,25,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
441827,21-02-2010,2010,ODI,South Africa,Sawai Mansingh Stadium,Jaipur,1,5,31,46,1,0,67.39,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
441829,27-02-2010,2010,ODI,South Africa,"Sardar Patel Stadium, Motera",Ahmedabad,2,3,57,71,4,1,80.28,caught,No,No,Yes,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
452147,30-05-2010,2010,ODI,Sri Lanka,Queens Sports Club,Bulawayo,2,3,82,92,4,0,89.13,caught,No,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
452149,03-06-2010,2010,ODI,Zimbabwe,Harare Sports Club,Harare,1,3,18,29,1,0,62.07,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Derived from Venue
452150,05-06-2010,2010,ODI,Sri Lanka,Harare Sports Club,Harare,1,3,68,95,5,0,71.58,caught,No,No,Yes,Loss,No,Non-Captain,International captaincy tenure by format,Derived from Venue
452153,12-06-2010,2010,T20,Zimbabwe,Harare Sports Club,Harare,2,5,26,21,3,1,123.81,Not Out,Yes,No,No,Win,No,Non-Captain,International captaincy tenure by format,Derived from Venue
455232,16-06-2010,2010,ODI,Bangladesh,Rangiri Dambulla International Stadium,Dambulla,2,3,11,22,0,0,50,stumped,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
455234,19-06-2010,2010,ODI,Pakistan,Rangiri Dambulla International Stadium,Dambulla,2,3,18,27,1,0,66.67,bowled,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
455236,22-06-2010,2010,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,1,3,10,14,1,0,71.43,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Manually Verified
455237,24-06-2010,2010,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,1,3,28,34,4,0,82.35,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
456663,16-08-2010,2010,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,2,3,0,3,0,0,0,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
456665,25-08-2010,2010,ODI,New Zealand,Rangiri Dambulla International Stadium,Dambulla,1,3,8,16,1,0,50,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Manually Verified
456668,28-08-2010,2010,ODI,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,2,3,37,57,5,0,64.91,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Manually Verified
464529,20-10-2010,2010,ODI,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2,3,118,121,11,1,97.52,caught,No,Yes,No,Win,Yes,Non-Captain,International captaincy tenure by format,Cricsheet
467883,28-11-2010,2010,ODI,New Zealand,Nehru Stadium,Guwahati,1,3,105,104,10,0,100.96,caught,No,Yes,No,Win,Yes,Non-Captain,International captaincy tenure by format,Cricsheet
467884,01-12-2010,2010,ODI,New Zealand,Sawai Mansingh Stadium,Jaipur,2,3,64,73,8,0,87.67,caught,No,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
467885,04-12-2010,2010,ODI,New Zealand,Reliance Stadium,Vadodara,2,3,63,70,6,2,90,Not Out,Yes,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
467886,07-12-2010,2010,ODI,New Zealand,M Chinnaswamy Stadium,Bangalore,2,3,0,2,0,0,0,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
467887,10-12-2010,2010,ODI,New Zealand,"MA Chidambaram Stadium, Chepauk",Chennai,2,3,2,8,0,0,25,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
463149,09-01-2011,2011,T20,South Africa,Moses Mabhida Stadium,Durban,1,1,28,19,5,0,147.37,bowled,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
463150,12-01-2011,2011,ODI,South Africa,Kingsmead,Durban,2,3,54,70,2,1,77.14,caught,No,No,Yes,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
463151,15-01-2011,2011,ODI,South Africa,New Wanderers Stadium,Johannesburg,1,3,22,34,1,0,64.71,run out,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
463152,18-01-2011,2011,ODI,South Africa,Newlands,Cape Town,2,3,28,41,5,0,68.29,caught,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
463153,21-01-2011,2011,ODI,South Africa,St George's Park,Port Elizabeth,2,3,87,92,7,2,94.57,Not Out,Yes,No,Yes,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
463154,23-01-2011,2011,ODI,South Africa,SuperSport Park,Centurion,2,3,2,6,0,0,33.33,caught,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
433558,19-02-2011,2011,ODI,Bangladesh,Shere Bangla National Stadium,Mirpur,1,4,100,83,8,2,120.48,Not Out,Yes,Yes,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
433568,27-02-2011,2011,ODI,England,M Chinnaswamy Stadium,Bangalore,1,7,8,5,1,0,160,bowled,No,No,No,No Result/Tie,No,Non-Captain,International captaincy tenure by format,Cricsheet
433578,06-03-2011,2011,ODI,Ireland,M Chinnaswamy Stadium,Bangalore,2,4,34,53,3,0,64.15,Not Out,Yes,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
433582,09-03-2011,2011,ODI,Netherlands,Feroz Shah Kotla,Delhi,2,5,12,20,2,0,60,bowled,No,No,No,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
433586,12-03-2011,2011,ODI,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,7,1,3,0,0,33.33,caught and bowled,No,No,No,Loss,No,Non-Captain,International captaincy tenure by format,Cricsheet
433599,20-03-2011,2011,ODI,West Indies,"MA Chidambaram Stadium, Chepauk",Chennai,1,3,59,76,5,0,77.63,bowled,No,No,Yes,Win,No,Non-Captain,International captaincy tenure by format,Cricsheet
